[2017-08-08 18:08:28,615][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-08 18:09:36,136][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:09:51,676][WARN, (HandlerDispatcher.java:143).handMessageQueue] 指令 [111]找不到
[2017-08-08 18:10:01,312][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:10:32,953][ERROR, (InitHandler.java:22).execute] 尬聊
[2017-08-08 18:10:57,035][ERROR, (InitHandler.java:22).execute] 尬聊
[2017-08-08 18:15:28,891][ERROR, (InitHandler.java:22).execute] 尬聊
[2017-08-08 18:26:24,249][WARN, (HandlerDispatcher.java:143).handMessageQueue] 指令 [111]找不到
[2017-08-08 18:35:23,837][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:35:52,769][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:50:56,315][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:51:01,980][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:51:07,268][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-08 18:51:36,962][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-08 19:00:49,705][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 11:18:16,380][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 11:32:35,587][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:36,995][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:37,779][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:38,031][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:38,279][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:38,487][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:38,686][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:38,880][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 11:32:39,360][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:09:07,628][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 14:09:14,839][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 14:18:09,130][ERROR, (InitHandler.java:22).execute] are yook?
[2017-08-09 14:18:10,380][ERROR, (InitHandler.java:22).execute] are yook?
[2017-08-09 14:18:11,308][ERROR, (InitHandler.java:22).execute] are yook?
[2017-08-09 14:18:12,038][ERROR, (InitHandler.java:22).execute] are yook?
[2017-08-09 14:27:28,042][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:28:45,932][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:31:57,541][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:32:05,369][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:32:09,127][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:37:50,941][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 14:44:58,761][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:45:05,756][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:52:54,175][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 14:53:38,827][ERROR, (InitHandler.java:22).execute] Are you ok?
[2017-08-09 15:07:39,178][ERROR, (InitHandler.java:22).execute] are you ok?
[2017-08-09 15:10:24,899][ERROR, (InitHandler.java:22).execute] Are you ok?
